Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
332613,One Flew Over the Cuckoo's Nest,Ken Kesey,"Kesey, Ken",Vytautas Petrukaitis,"=""""","=""""",0,4.20,Signet,Mass Market Paperback,325,1963,1962,,2022/07/09,,,read,,,,1,0
5479,Brave New World / Brave New World Revisited,Aldous Huxley,"Huxley, Aldous",Christopher Hitchens,"=""0060776099""","=""9780060776091""",3,4.16,Harper Perennial Modern Classics,Paperback,340,2005,1958,,2020/09/27,,,read,,,,1,0
228560,Sophie's Choice,William Styron,"Styron, William",,"=""0679736379""","=""9780679736370""",0,4.18,Vintage Books,Paperback,562,1992,1979,,2022/07/09,,,read,,,,1,0
35133922,Educated,Tara Westover,"Westover, Tara",,"=""""","=""""",0,4.47,Random House,Hardcover,352,2018,2018,,2022/07/09,to-read,to-read (#171),to-read,,,,0,0
32692,Gerald's Game,Stephen King,"King, Stephen",,"=""0831727527""","=""9780831727529""",1,3.56,Smithmark Publishers,Hardcover,332,1992,1992,,2022/07/09,,,read,,,,1,0
4894,Who Moved My Cheese?,Spencer Johnson,"Johnson, Spencer",Kenneth H. Blanchard,"=""0091883768""","=""9780091883768""",0,3.85,Vermilion,Hardcover,96,2002,1999,,2022/06/22,to-read,to-read (#170),to-read,,,,0,0
23966,Filth,Irvine Welsh,"Welsh, Irvine",,"=""0393318680""","=""9780393318685""",0,3.80,W. W. Norton  Company,Paperback,393,1998,1998,,2022/05/17,to-read,to-read (#169),to-read,,,,0,0
52373510,Gone to See the River Man,Kristopher Triana,"Triana, Kristopher",,"=""""","=""""",0,3.73,Cemetery Dance Publications,Kindle Edition,182,2020,2020,,2022/05/17,to-read,to-read (#168),to-read,,,,0,0
55801220,The First Day of Spring,Nancy Tucker,"Tucker, Nancy",,"=""0593191560""","=""9780593191569""",0,3.98,Riverhead Books,Hardcover,352,2021,2021,,2022/05/17,to-read,to-read (#167),to-read,,,,0,0
40886917,The Perfect Child,Lucinda Berry,"Berry, Lucinda",,"=""""","=""""",0,4.10,Thomas & Mercer,Kindle Edition,371,2019,2019,,2022/05/17,to-read,to-read (#166),to-read,,,,0,0
36300625,99 Percent Mine,Sally  Thorne,"Thorne, Sally",,"=""0062439626""","=""9780062439628""",2,3.39,William Morrow Paperbacks,Hardcover,368,2019,2019,,2022/03/12,,,read,,,,1,0
54860443,One Last Stop,Casey McQuiston,"McQuiston, Casey",,"=""1250244498""","=""9781250244499""",1,4.01,St. Martin's Griffin,Paperback,418,2021,2021,,2021/09/22,started-and-hated,started-and-hated (#1),read,,,,1,0
8520610,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,"Cain, Susan",,"=""0307352145""","=""9780307352149""",0,4.07,"Crown Publishing Group/Random House, Inc.",Hardcover,333,2012,2012,,2022/05/11,to-read,to-read (#165),to-read,,,,0,0
58734811,Bittersweet: How Sorrow and Longing Make Us Whole,Susan Cain,"Cain, Susan",,"=""0451499786""","=""9780451499783""",0,4.02,Crown,Hardcover,310,2022,2022,,2022/05/11,to-read,to-read (#164),to-read,,,,0,0
59761332,"The Sunday Scaries: 35 Invitations to See Beauty, Embrace Mystery, and Cultivate Play",David Cary Lane,"Lane, David Cary",,"=""""","=""9798485645984""",0,4.75,,Paperback,,2021,,,2022/05/11,to-read,to-read (#163),to-read,,,,0,0
57577284,Part of Your World,Abby Jimenez,"Jimenez, Abby","Julia Whelan, Zachary Webber","=""1549135120""","=""9781549135125""",0,4.41,Forever,Audiobook,12,2022,2022,,2022/05/11,to-read,to-read (#162),to-read,,,,0,0
6334,Never Let Me Go,Kazuo Ishiguro,"Ishiguro, Kazuo",,"=""""","=""""",0,3.84,Vintage Books ,Paperback,288,2010,2005,,2022/05/11,to-read,to-read (#161),to-read,,,,0,0
